id,name,model_id/id,group_id/id,perm_read,perm_write,perm_create,perm_unlink
access_helpdesk_employee,helpdesk_employee,website_helpdesk_support_ticket.model_helpdesk_support,base.group_user,1,0,0,0
access_helpdesk_user,helpdesk_user,website_helpdesk_support_ticket.model_helpdesk_support,website_helpdesk_support_ticket.group_helpdesk_user,1,1,1,1
access_helpdesk_manager,helpdesk_manager,model_helpdesk_support,website_helpdesk_support_ticket.group_helpdesk_manager,1,1,1,1
access_helpdesk_team_employee,helpdesk_team_employee,model_support_team,base.group_user,1,0,0,0
access_helpdesk_team_user,helpdesk_team_user,model_support_team,website_helpdesk_support_ticket.group_helpdesk_user,1,0,0,0
access_helpdesk_team_manager,helpdesk_team_manager,model_support_team,website_helpdesk_support_ticket.group_helpdesk_manager,1,1,1,1
access_helpdesk_employee_line,helpdesk_line_employee,model_support_invoice_line,base.group_user,1,0,0,0
access_helpdesk_user_line,helpdesk_line_user,model_support_invoice_line,website_helpdesk_support_ticket.group_helpdesk_user,1,1,1,1
access_helpdesk_manager_line,helpdesk_line_manager,model_support_invoice_line,website_helpdesk_support_ticket.group_helpdesk_manager,1,1,1,1
access_helpdesk_portal,helpdesk_portal,model_helpdesk_support,base.group_portal,1,0,0,0
access_helpdesk_team_portal,helpdesk_team_portal,model_support_team,base.group_portal,1,0,0,0
access_helpdesk_invoice_line_portal,helpdesk_invoice_line_portal,model_support_invoice_line,base.group_portal,1,0,0,0
access_invoice_manager,helpdesk_invoice,account.model_account_move,website_helpdesk_support_ticket.group_helpdesk_manager,1,0,0,0
access_account_invoice_manager,access_account_invoice_manager,account.model_account_move,website_helpdesk_support_ticket.group_helpdesk_user,1,0,0,0
access_task_project_user,access_task_project_user,project.model_project_task,website_helpdesk_support_ticket.group_helpdesk_user,1,0,0,0
access_prepared_hours_sales_person_sep,access_prepared_hours_sales_person_sep,model_prepared_purchase_hours,sales_team.group_sale_salesman,1,1,1,1
access_account_invoice_uinvoice,account.move,model_prepared_purchase_hours,base.group_user,1,0,0,0
access_project_task,project.task.user,website_helpdesk_support_ticket.model_helpdesk_stage_config,website_helpdesk_support_ticket.group_helpdesk_manager,1,1,1,1
access_prepared_hours_bill,prepared.purchase.hours.billing,website_helpdesk_support_ticket.model_helpdesk_stage_config,website_helpdesk_support_ticket.group_helpdesk_user,1,1,0,0
access_prepared_hours_sales_person,prepared.purchase.hours.salesperson,model_ticket_type,base.group_user,1,0,0,0
access_prepared_hours_emp,prepared.purchase.hours.emp,model_ticket_type,website_helpdesk_support_ticket.group_helpdesk_manager,1,1,1,1
access_helpdesk_stage_manger,stage_helpdesk_manger,model_ticket_type,website_helpdesk_support_ticket.group_helpdesk_user,1,0,0,0
access_helpdesk_stage_user,stage_helpdesk_user,model_type_of_subject,base.group_user,1,0,0,0
access_ticket_type_employee,ticket_type_employee,model_type_of_subject,website_helpdesk_support_ticket.group_helpdesk_manager,1,1,1,1
access_ticket_type_heldpeskmanaer,ticket_type_heldpeskmanager,model_type_of_subject,website_helpdesk_support_ticket.group_helpdesk_user,1,0,0,0
